name;companyid;ifgenerated
BridgestoneShenyang Tire Co., Ltd.;6;0
Bridgestone Americas Tire;6;0
Bridgestone Firestone De Argentina Saic;6;0
Carlisle Coatings;7;1
CARLISLE Coatings;7;1
Carlisle Coatings & Waterproofing, Inc.;7;0
Carlisle Coatings & Wtrprfng;7;0
Carlisle Coatings &;7;1
ONDULINE US PLANTS/ ONDULINE NORTH AMERICA INC;8;0
Onduline;8;1
Onduline Polska Sp. z o.o.;8;0
Onduline S.A.;8;0
Onduline sp;8;1
Rhino Rugby France;9;0
Rhino Rugby pllc d.d. Comoros;9;1
Rhino Rugby;9;0
Rhino Rugby South Africa Pty Ltd.;9;0
Rhino Rugby Ltd.;9;0
Bridgestone International Group Americas o.e. pllc;10;1
Bridgestone International Group Americas Tire;10;1
Bridgestone International GROUP Americas;10;1
Bridgestone International Group;10;0
Bridgestone Americas Tire;10;0
Sumitomo Rubber Industries Usa;11;0
Sumitomo Chemical Do Brasil Representacoes Limitada;11;0
Sumitomo Corporation Do Brasil Sa;11;0
Sumitomo Rubber Industries;11;0
Sumitomo Rubber Changshu Co., Ltd.;11;0
Sumitomo Rubber Usa Llc;11;0
Sumitomo Rubber Industriesusa;11;0
Sumitomo Industrias Pesadas Do Brasil Ltda;11;0
Sumitomo Warehouse Usa. Inc.;11;0
Sumitomo Rubber Inds;11;0
Sumitomo Bakelite Nantong Co., Ltd.;11;0
Sumitomo Rubber North America Inc.;11;0
Sumitomo Corporation Of America;11;0
Sumitomo Rubber Usa Sheridan;11;0
Sumitomo RubberHunan Co. Ltd.;11;0
Sumitomo Rubber Do Brasil Ltda;11;0
Sumitomo Corp. Of America;11;0
Basf Quimica Colombiana S.A.;12;0
Basf India;12;0
Basf Sa;12;0
Basf Mexicana S.A. De C.V.;12;0
Basf Turk Kimya San.Ve Tic Ltd.Sti;12;0
Basf Turk Kimya San Ve Tic.Tld.Sti;12;0
Basf Finlay Pvt., Ltd.;12;0
Basf Pakistan Ltd.;12;0
Basf New Zealand Ltd.;12;0
Basf Corporation;12;0
Basf Chile S.A.;12;0
Basf Japan Ltd. Roppongi;12;0
Basf Construction Chemicals Ua;12;0
Basf China Co., Ltd. Shanghai;12;0
Basf Colors & Effects Usa Llc;12;0
Basfs Paper Chemicals Huizhou Co., Ltd.;12;0
Basf Co., Ltd.;12;0
Basf Corp.;12;0
Basf Japan Ltd.;12;0
Basf Peruana S.A.;12;0
Basf Chile S A;12;0
Basf Bangladesh Ltd.;12;0
Basf Pakistan Private Ltd.;12;0
Basf India Ltd.;12;0
Basf Co., Ltd. Yeosu;12;0
Basf De Costa Rica Sociedad Anonima;12;0
Bdp International Basf Imp.;12;0
Basf Turk Kimya San. Ve Tic.Sti;12;0
Basf Construction Chemicals;12;0
Basf Auxiliary Chemicals;12;0
Bridgestone Ncr;13;0
Bridgestone De;13;1
BridgestoneShenyang Tire Co., Ltd.;13;0
Bridgestone De Mexico S.A. De C.V.;13;0
Bridgestone Neumaticos De Monterreysa De Cv;13;0
Zeon Shanghai Co., Ltd.;14;0
Zeon Specialty Materials Inc.;14;0
Zeon Medical Guangzhou Inc;14;0
Zeon Advanced Polymix Co., Ltd.;14;0
Zeon Medical Inc.;14;0
Zeon CSC Corporation;14;0
ZEON Corporation TSE;14;0
Zeon Chemicals Thailand Co., Ltd;14;0
Zeon Asia Malaysia Sdn. Bhd.;14;0
Zeon Advance Polymix Co., Ltd.;14;0
Zeon Kasei Mexico S.A. de C.V.;14;0
Zeon Shinhwa Zeshin Inc.;14;0
ZEON KASEI CO., LTD.;14;0
Zeon Nano Technology Co., Ltd;14;0
Zeon Europe Gmbh;14;0
Zeon Corporation;14;0
Zeon Chemicals Europe Limited;14;0
Zeon Asia Pte Ltd;14;0
Zeon Trading Shanghai Co., Ltd.;14;0
Zeon Kasei Changshu Co.,Ltd;14;0
Zeon F&B Co., Ltd;14;0
Zeon France;14;0
Zeon Chemicals L P;14;0
Zeon Korea Co., Ltd;14;0
Zeon Chemicals Yonezawa Co.,Ltd.;14;0
Zeon Manufacturing Vietnam Co., Ltd;14;0
Zeon Produtos Quimicos Do Brasil Ltda;14;0
Zeon Chemicals L.P.;14;0
ZS Elastomers Co., Ltd.;14;0
Zeon Polymix Incorporation;14;0
Zeon do Brasil Ltda;14;0
Zeon North Co., Ltd.;14;0
Zeon India Private Limited;14;0
Zeon RIM Co., Ltd;14;0
Zeon Research Vietnam Co., Ltd;14;0
Dow Chemical International Private Ltd.;15;0
Dow Chemical;15;0
Dow Chemical Shanghai Co., Ltd.;15;0
Dow International Mexicana Sa De Cv;15;0
Dow Chemical Pacific Ltd.;15;0
Dow Quimica Mexicana Sa Cv;15;0
Dow Chemical Thailand Ltd.;15;0
Dow International Mexicana S.A. De;15;0
Dow Chemical Pacific;15;0
Basf Quimica Colombiana S.A.;16;0
Basf Bangladesh Ltd.;16;0
Basf India;16;0
Basf De Costa Rica Sociedad Anonima;16;0
Basf Sa;16;0
Shanghai Toyo Ink Mfg. Co., Ltd.;17;0
Toyo Tire North America;17;0
Toyo Tire North;17;0
Toyo Trans Inc.;17;0
Cebu Toyo Corp;17;0
Toyo Tires Zhangjiagang Co., Ltd.;17;0
Zhuhai Toyo Ink Co., Ltd.;17;0
Arlanxeo Canada Inc.;18;0
Arlanxeo Singapore Pte., Ltd. Tearlanxeo Canada Inc. Vidal;18;0
Arlanxeo;18;0
Arlanxeo International Group;18;0
Ktn Underwood Arlanxeo Usa Llc;18;0
Arlanxeo Singapore Pte. Lt;18;0
Arlanxeo Singapore Pte.;18;0
Arlanxeo Corp.;18;0
Arlanxeo Usa Llc;18;0
Arlanxeo Brasil Sa;18;0
Arlanxeo Singapore Pte., Ltd.;18;0
C.O.I.M. S.p.A.;19;0
Coim S.p.A.;19;0
C.O.I.M. S.P.A. CHIMICA ORGANICA INDUSTRIALE MILANESE;19;0
S.P.A. t:mi private;19;1
S.P.A.;19;1
Pirelli Neumaticos Sa nl l.t.d.;20;1
Pirelli Neumaticos Sa;20;1
PIRELLI NEUMATICOS SA sh.a. scs;20;1
Pirelli Neumaticos Sa De;20;0
Pirelli Neumaticos Argentina Sa;20;0
Reliance Industries Ltd.;21;0
Reliance Sibur Elastomers Pvt., Ltd.;21;0
Diesel Fashion India Reliance Private Ltd.;21;0
Reliance Spg Mills Ltd.;21;0
Reliance Chemical Products Ltd.;21;0
Reliance Retail Ltd.;21;0
Marks And Spencer Reliance India Pvt., Ltd.;21;0
Reliance Luxury Fashion Private Ltd.;21;0
Reliance Commcl Dealers;21;0
Reliance Brands;21;0
Reliance Clothing India Private Ltd.;21;0
Ryohin Keikaku Reliance India Private Ltd.;21;0
Reliance Lifestyle Holding;21;0
Reliance Paul & Shark Fashions Pvt., Ltd.;21;0
Reliance Bally India Private Ltd.;21;0
TOTAL POLSKA;22;0
Total Bitumen Deutschland Gmbh ae;22;1
Total Bitumen Deutschland Gmbh Polska;22;1
Total Bitumen Deutschland GmbH;22;0
Total Bitumen Deutschland Gmbh Afghanistan;22;1
Savino Del Bene Chile S.A.;23;0
Savino Del Bene Poland Sp. Z O.O.;23;0
Savino Del Bene Usa Inc.;23;0
Savino Del Bene;23;0
Savino Del Bene kv. ses.;23;1
SOPREMA SALGAREDA;24;0
Soprema Iberia S.L.;24;0
SOPREMA GmbH;24;0
Soprema, S.A.;24;0
SOPREMA Polska Sp. z o.o.;24;0
SOPREMA CASTELLBISBAL;24;0
Soprema Polska Sp Z O O;24;0
SOPREMA SOURGES;24;0
SOPREMA ALPIARCA;24;0
Soprema Iberia;24;0
SOPREMA DRUMMONDVILLE;24;0
SOPREMA BLONIE;24;0
Soprema Canada;24;0
SOPREMA S.A.S.;24;0
Soprema S.A.;24;0
Gestion Soprema Canada Inc.;24;0
soprema Soprema sas;24;0
SOPREMA OBERROSSBACH;24;0
Soprema sas;24;0
SOPREMA GROBBENDONK;24;0
Soprema NV;24;0
SOPREMA S.R.L.;24;0
Basf Corp.;25;0
Basf Co., Ltd. Yeosu;25;0
Bdp International Basf Imp.;25;0
Basf Turk Kimya San. Ve Tic.Sti;25;0
Basf Turk Kimya San.Ve Tic Ltd.Sti;25;0
Basf Construction Chemicals;25;0
Pt Sika Indonesia;26;0
Sika Sa;26;0
Sika India Private Ltd.;26;0
Sika Mexicana S.A. De C.V.;26;0
Sika Kimia Sdn. Bhd.;26;0
Sika S.A. Chile;26;0
Sika China Ltd.;26;0
Sika Corporation;26;0
Sika Cambodia Ltd.;26;0
Sika Pakistan Pvt Ltd.;26;0
Sika Singapore Pte., Ltd.;26;0
Sika Cambodia Ltd. Warehouse;26;0
Sika S A.;26;0
Sika Ltd. Vietnam;26;0
Sika Colombia S.A.;26;0
Sika Lanka Pvt Ltd.;26;0
Sika Thailand;26;0
Sika Sa;27;0
Sika Cambodia Ltd.;27;0
Sika Corporation;27;0
Sika S A.;27;0
Sika Lanka Pvt Ltd.;27;0
Soprema k/s g.m.b.h;28;1
Soprema sp;28;1
Soprema S.A.;28;0
Soprema;28;1
SOPREMA DRUMMONDVILLE;28;0
Sociedade Michelin De Participacoes Indust E Comercio L;29;0
Michelin India Technology Center;29;0
Michelin India Technology Center Llp;29;0
Michelin Siam Co., Ltd.;29;0
Michelin Aircraft Tire;29;0
Michelin North America Canada Inc.;29;0
Michelin Na Asrc;29;0
Michelin North America Inc.;29;0
Michelin India Tamilnadu Tyres Private Ltd.;29;0
Michelin Shenyang Tyre Co., Ltd.;29;0
Michelin Americas Research;29;0
Michelin India Private Ltd.;29;0
Michelin Espana Portugal Sa;29;0
Michelin Research And Development Center Shanghai Co., Ltd.;29;0
Shanghai Michelin Tire Co., Ltd.;29;0
Michelin Shenyang Tire Co., Ltd.;29;0
Michelin Group;29;0
Shanghai Michelin Warrior Tyre Co., Ltd.;29;0
Michelin Tyre Plc;29;0
Sociedade Michelin De Participacoes Ind E Comercio Ltda;29;0
M.F.P. Michelin;29;0
Midland Asphalt sal tapui;30;1
MIDLAND ASPHALT ses. crl;30;1
Midland Asphalt Materials Inc;30;0
Midland Asphalt;30;0
Midland Asphalt sa;30;1
China Southern Petroleum Exploration and Development Corporation;31;0
JX Nippon Oil & Gas Exploration Myanmar Limited;31;0
Exploration Corporation Jx Nippon Oil & gesbr;31;1
JX Nippon Oil & Gas Exploration Corporation;31;0
Exploration Corporation Jx Nippon Oil & Gas;31;1
Yokohama Industries Americas;32;0
Yokohama Re Mfg.;32;0
Yokohama Tire Mfg. Virgini;32;0
Yokohama Tire Corp.;32;0
Yokohama India Pvt., Ltd.;32;0
Yokohama Tire Corporation;32;0
Yokohama Tyre;32;0
Yokohama Rubber Co., Ltd. The;32;0
Yokohama;32;0
Yokohama Tire Canada;32;0
Yokohama Corp. Of North Ameri;32;0
Bridgestone Firestone Do Brasil;33;0
Bridgestone Hosepower Llc;33;0
Bridgestone Firestone Do Brasil Hosepower e.c.;33;1
Bridgestone Firestone Do Brasil Hosepower saoc;33;1
Bridgestone Firestone Do Brasil Hosepower Llc;33;1
Michelin Group;34;0
Michelin Tyre Plc;34;0
M.F.P. Michelin;34;0
Michelin Americas Research;34;0
Michelin India Private Ltd.;34;0
Michelin Espana Portugal Sa;34;0
Michelin Siam Co., Ltd.;34;0
Giti Tire Hualin Co., Ltd.;35;0
Giti Tire Mfg. Usa;35;0
Giti Tire Usa Ltd.;35;0
Giti Tire Mfg.;35;0
Giti Tire Mfg. Usa Ltd.;35;0
Giti Tire Mfg. L.T.D.;35;0
Giti Radial Tire Anhui Co.;35;0
Bridgestone Stargard Sp Zoo;36;0
Bridgestone Firestone De Mexico Sa De Cv;36;0
Bridgestone De;36;1
Bridgestone Tianjin Tire Co., Ltd.;36;0
Bridgestone De Costa Rica Sociedad Anoni;36;0
GOTER;37;0
Goter Thermoplastic Compounds Spa;37;0
Goter Albania;37;1
GOTER S.R.L.;37;0
Goter;37;1
Owens Corning Glass Metal Services;38;0
Owens Corning Ht, Inc.;38;0
Owens Corning NYSEOC;38;0
Owens Corning Sales L L C;38;0
Owens Corning, Masonry Products Business;38;0
OWENS CORNING;38;0
Owens Corning;38;0
Owens Corning Sales Llc;38;0
Owens Corning Insulating Systems, LLC;38;0
Arlanxeo sal Guinea;39;1
Arlanxeo Corp.;39;0
Arlanxeo;39;1
Arlanxeo International Group;39;0
Arlanxeo Singapore Pte.;39;0
Gates pty ltd sal;40;1
Gates Corporation;40;0
Gates s.c.s. sicav;40;1
Gates USA;40;0
Gates;40;1
FlexComputingSuzhou Co., Ltd.;41;0
Planika Flex D.O.O;41;0
Nichirin Flex U . S . A . Inc.;41;0
K Flex India Private Ltd.;41;0
LISOLANTE K-FLEX SPA;41;0
Flex Sol;41;0
Nitro Flex X S.A.C.;41;0
K Flex Usa Llc. Nomaco;41;0
Hansa Flex Usa;41;0
K Flex Usa;41;0
IKO Slovakia, s.r.o.;42;0
IKO SLOVAKIA;42;0
IKO SAS;42;0
IKO;42;0
Iko Europe;42;0
iko sales;42;0
Power Adhesives Ltd;43;0
Power Adhesives ay nl;43;1
POWER ADHESIVES;43;0
Power Adhesives fie UA;43;1
Power Adhesives;43;1
Kraton Polymers Us Llc;44;0
Kraton Polymers Do Brasil Sa;44;0
Kraton Polymers Nederland Bv;44;0
Kraton Polymers Trading Shanghai Co., Ltd.;44;0
Kraton Polymers Japan Ltd.;44;0
Kraton Polymers Us. Llc;44;0
Kraton Polymers Us;44;0
Kraton Polymers Us Llc.;44;0
Bit Mat. Products Of Michigan, Inc.;45;0
Products Of Inc. Bit-Mat;45;1
klink group;45;0
BIT-MAT PRODUCTS;45;0
Bit-Mat Products of Indiana, Inc.;45;0
Alpha Trading S.p.a;46;0
Alpha Trading xk;46;1
Alpha Trading;46;1
Alpha Trading sicav;46;1
ALPHA TRADING;46;0
Pirelli Tire Llc;47;0
Pirelli Pneus Ltda;47;0
Pirelli Neumaticos Sa De Cv Boulev;47;0
Pirelli De Venezuela C.A.;47;0
Pirelli;47;1
Sociedade Michelin De Participacoes Indust E Comercio L;48;0
Michelin Shenyang Tire Co., Ltd.;48;0
Michelin India Technology Center;48;0
Michelin Na Asrc;48;0
Shanghai Michelin Warrior Tyre Co., Ltd.;48;0
Michelin India Technology Center Llp;48;0
Sociedade Michelin De Participacoes Ind E Comercio Ltda;48;0
Michelin India Private Ltd.;48;0
Michelin Research And Development Center Shanghai Co., Ltd.;48;0
Michelin Siam Co., Ltd.;48;0
Shanghai Synthomer Chemicals Co., Ltd.;49;0
Synthomer Llc. Peachtree Lenox Bl Bonded Logistics Statesville;49;0
Synthomer Uk Ltd.;49;0
Synthomer Ltd.;49;0
Synthomer Llc;49;0
Synthomer Llc C Oterminal Warehouse;49;0
Synthomer Llc C Oterminal;49;0
Synthomer Srl;49;0
Basf Colors & Effects Usa Llc;50;0
Basf Turk Kimya San. Ve Tic.Sti;50;0
Basf Romania;50;1
Basf;50;1
Basf Corporation;50;0
Versalis Americas Inc.;51;0
Versalis Sp A;51;0
Versalis;51;1
Versalis Pacific Trading Shanghai;51;0
Versalis gie ij;51;1
Onur Taahhut Tasimacilik Ticaret Ve;52;1
Onur Taahhut Tasimacilik Insaat Ticaret ve Sanayi AS;52;0
Onur Taahhut Tasimacilik Ve Ticaret Ltd Sti;52;0
Onur Taahhut Tasimacilik nl sicav ag;52;1
ONUR TAAHHUT;52;0
Ktn Underwood Arlanxeo Usa gte. private WF;53;1
Arlanxeo;53;0
Ktn Underwood Arlanxeo Usa Llc;53;0
Ktn Underwood Arlanxeo Usa oe secs;53;1
Ktn Underwood Arlanxeo Usa Llc Argentina;53;1
Ineos Styrolution India Ltd.;54;0
Ineos Oligomers;54;0
Ineos Usa Llc;54;0
Ineos Styrolution Do Brasil Polimeros Ltda;54;0
Ineos Styrolution America Llc;54;0
Basf TURK;55;1
BASF Turk n.v. sagl;55;1
Basf Turk Kimya San.Ve Tic Ltd.Sti;55;0
Basf Turk Kimya San Ve Tic.Tld.Sti;55;0
Basf Turk Kimya;55;1
Dow Chemical Ltd.;56;1
Dow Chemical Shanghai Co., Ltd.;56;0
Dow Chemical Ltd. Seychelles;56;1
Dow Chemical Pacific Ltd.;56;0
Dow Chemical corporation;56;1
Basf Ltd. llp saoc;57;1
Basf Ltd.;57;1
Basf Ltd. vof Pakistan;57;1
Basf Finlay Pvt., Ltd.;57;0
Basf India Ltd.;57;0
Dunlop Slazenger International Inc. Fenner Americas Saint Pierre and Miquelon;58;1
Dunlop Slazenger International Inc. Fenner Americas;58;1
Dunlop Slazenger International Inc. FENNER sicav;58;1
Dunlop Slazenger International Inc.;58;0
Fenner Dunlop Americas;58;0
Basf Colors & Effects Usa LLC Chile a.s. lllp Azerbaijan;59;1
Basf Colors & Effects Usa Llc;59;0
Basf Colors & Effects Usa Llc Chile S.A.;59;1
Basf Chile S.A.;59;0
Basf Colors & Effects Usa Llc Chile plc ltd.;59;1
Sika Ltd. l.t.d. p.c.;60;1
Sika Ltd. s.c.p.a Senegal;60;1
Sika Ltd.;60;1
Sika Cambodia Ltd. Warehouse;60;0
Sika China Ltd.;60;0
Saint Gobain Colombia Sas;61;0
Saint Gobain Canada Inc.;61;0
Saint Gobain Performance Plastics;61;0
Saint Gobain Vietnam Co., Ltd.;61;0
Saint Gobain India Pvt., Ltd.;61;0
SOPREMA SALGAREDA;62;0
Soprema Polska Sp Z O O;62;0
SOPREMA ALPIARCA;62;0
Soprema Iberia;62;0
SOPREMA BLONIE;62;0
SOPREMA S.A.S.;62;0
SOPREMA CASTELLBISBAL;62;0
Petro. Canada;63;0
Petro-Canada International Holdings BV;63;0
Petro-Canada Oil Sands Inc.;63;0
Petro-Canada Energy North Sea Limited;63;0
Petro-Canada Resources USA Inc.;63;0
Petro-Canada Denmark GmbH;63;0
Soprema;64;1
soprema Soprema sas;64;0
SOPREMA OBERROSSBACH;64;0
SOPREMA GmbH;64;0
Soprema, S.A.;64;0
NAFTNA INDUSTRIJA SRBIJE;65;0
NIS GPN SUBCIDIARY;65;0
Naftna Industrija corp. private;65;1
Naftna Industrija Srbije;65;1
Naftna Industrija Srbije a.d. BELEXNIIS;65;0
Lohmann Gmbh & l.l.l.p. sp.p.;66;1
Lohmann GmbH & Co. KG;66;0
Lohmann Gmbh & kt private;66;1
Lohmann Gmbh &;66;1
Lohmann Gmbh & pte ltd;66;1
Kenda Rubber Tianjin Co., Ltd.;67;0
Kenda Farben India Pvt., Ltd.;67;0
Kenda Rubber China Co., Ltd.;67;0
Pt . Kenda Rubber Indonesia;67;0
Kenda Rubber Industries Co., Ltd.;67;0
GOTER THERMOPLASTIC COMPOUNDS S.P.A;68;0
Goter S.R.L. Thermoplastic Compounds S.P.A;68;1
GOTER S.R.L.;68;0
Goter S.R.L. Thermoplastic Compounds S.P.A uab;68;1
GOTER S.R.L. Thermoplastic Compounds;68;1
Exxonmobil Servicios Petroleros Mexico Sa De Cv;69;0
Exxonmobil Chemical Asia Pacific;69;0
Exxonmobil Chemical Americas On;69;0
Exxonmobil Chemical Americas Springwoods Village Parkway;69;0
Exxonmobil Chemical Co.;69;0
Exxonmobil Asia Pacific R & D Co., Ltd.;69;0
Exxonmobil Chemical Co. Baytown Chemical Plant;69;0
Exxonmobil Petroleum And Chemical;69;0
Exxonmobil Japan Godo Kaisha;69;0
Exxonmobil Chemical Americas Po Box Houston;69;0
Exxonmobil Quimica Ltda;69;0
Petro-Canada;70;1
Petro-Canada s.p.;70;1
Petro-Canada Energy North Sea Limited;70;0
Petro-Canada Resources USA Inc.;70;0
Petro-Canada Denmark GmbH;70;0
Brenntag Costa Rica;71;1
Brenntag Vietnam Co., Ltd.;71;0
Brenntag Ingredients Inc.;71;0
Brenntag;71;1
Brenntag Chile Comercial E Ind;71;0
Pavimental S.p.A.;72;0
Pavimental p.l.l.c. sicav;72;1
PAVIMENTAL;72;0
Pavimental;72;1
Pavimental ood pty. ltd.;72;1
Kraton Polymers sicav s.a.;73;1
Kraton Polymers Do Brasil Sa;73;0
Kraton Polymers;73;1
Kraton Polymers Us;73;0
Kraton Polymers Us Llc.;73;0
JX Nippon Oil & Gas Exploration Qatar Limited;74;0
JX Nippon Oil & Gas Exploration Corporation;74;0
Jx Nippon Oil &;74;1
Jx Nippon Oil & Gas Exploration s.c.a.;74;1
Jx Nippon Oil & Gas Exploration;74;1
A.P.I. Api;75;1
API;75;0
A.P.I. APPLICAZIONI PLASTICHE INDUSTRIALI S.P.A.;75;0
Trinseo API;75;0
A.P.I.;75;0
Bridgestone Firestone Venezolana C;76;0
Bridgestone Firestone Venezolana srl. Japan;76;1
Bridgestone Firestone Venezolana sd nl Venezuela, Bolivarian Republic of;76;1
Bridgestone Firestone Venezolana;76;0
Bridgestone Firestone nl rt. MC;76;1
Contitech Usa Inc.;77;0
Contitech India Private Ltd.;77;0
Contitech Transportbandsysteme Gmb H;77;0
Contitech Mexicana Sa De Cv;77;0
Contitech Chile Sa;77;0
Contitech Australia Pty Ltd.;77;0
Contitech Chile S.A.;77;0
Contitech Antriebssysteme Gmb H;77;0
Contitech Fluid Mexicana Sa De Cv;77;0
Ankara Insaat Ticaret Ve Sanayi Limited Sirketi;78;1
Ankara Insaat Ticaret Ve Sanayi Limited s.r.l.;78;1
ANKARA INSAAT;78;0
ANKARA INSAAT TICARET ve SANAYI LIMITED SIRKETI;78;0
Ankara Insaat Ticaret VE Sanayi Limited oaj snc;78;1
Dow International Mexicana p.c. lda.;79;1
Dow International Mexicana Sa De Cv;79;0
Dow International Mexicana De;79;1
Dow International Mexicana De & co. s.n.c.;79;1
Dow International Mexicana S.A. De;79;0
Basf China Co., Ltd. Shanghai;80;0
Basf Chile S A;80;0
Basf China CO., Ltd. Shanghai CHILE S ses.;80;1
Basf CHINA Co., Ltd. Shanghai Chile S esv p.l.l.c. sdn bhd Guernsey;80;1
Basf China Co., Ltd. Shanghai Chile S A;80;1
Sika Corporation;81;0
Sika S.A. Chile;81;0
Sika Pakistan Pvt Ltd.;81;0
Sika Ltd. Vietnam;81;0
Sika Thailand;81;0
Michelin India secs;82;1
Michelin India Private Ltd.;82;0
Michelin India Technology Center;82;0
Michelin India Tamilnadu Tyres Private Ltd.;82;0
Michelin India;82;1
Mogat-Werke Adolf Boving Bitumen- und Dachpappen Fabrik GmbH;83;0
MOGAT;83;0
Mogat-Werke Adolf Boving Bitumen- Und Dachpappenfabrik Gesellschaft Mit Beschrankter Haftung;83;0
Mogat-Werke Adolf Boving Bitumen- Und;83;1
MOGAT-WERKE Adolf Boving Bitumen- Und ij a.e.;83;1
Appia Liants Ouest xk fie;84;1
APPIA LIANTS OUEST ALO;84;0
Appia Liants Ouest;84;1
APPIA LIANTS OUEST;84;0
Appia Liants n.v. ses. AG;84;1
Michelin Tyre Plc;85;0
Michelin India Technology Center Llp;85;0
Michelin;85;1
Michelin ses. ps;85;1
Michelin Na Asrc;85;0
H & V Advanced MaterialsIndia Pvt., Ltd.;86;0
H & V Advanced Pvt., Ltd. sa;86;1
H & V Advanced Pvt., Ltd.;86;1
H & V Advanced Pvt., Ltd. pp AL;86;1
H & V Advanced Materials India Pvt., Ltd.;86;0
Trinseo Llc;87;0
Trinseo Europe Gmb H Trade Register Tax Id Be;87;0
Trinseo Europe Gmb H Trade Register;87;0
Trinseo Europe Gmb H Tax Id Be;87;0
Trinseo Llc Us;87;0
Trinseo Europe Gmb H Vat Id Nl B;87;0
TURMERLEIM GmbH;88;0
Turmerleim Gmbh sdn. bhd.;88;1
Turmerleim Gmbh s.p.a.;88;1
TUERMERLEIM;88;0
Turmerleim Gmbh;88;0
Del Corona & Scardigli Mexico;89;0
Del Corona & Scardigli;89;1
Del Corona & spolka z o.o. s.c.a.;89;1
Del Corona &;89;1
Del Corona & Scardigli Usa;89;0
Bharat Bijlee Ltd.;90;0
Bharat Electronics Ltd.;90;0
Bharat Heavy Electricals Ltd.;90;0
Bharat Enterprises;90;0
Bharat Adhesives;90;0
Bharat Polymers;90;0
Bharat Rubber Works Pvt., Ltd.;90;0
Total Bitumen GmbH;91;0
TOTAL Polska Sp. z o.o.;91;0
